Content Title,Content Description,Content Type,Content Last Watched Date (if viewed),Content Completed At (if completed),Content Saved,Notes taken on videos (if taken),
CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaCourse:3815078,CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaCourse:3815078,Course,2024-05-06 10:11 UTC,N/A,false,N/A,
Developing Your Emotional Intelligence,"<p>Emotional intelligence can help you build strong relationships at work and respond to change effectively. Psychologist and author Dr. Gemma Leigh Roberts explains what emotional intelligence (EQ) is and why it's important. She helps you become more self-aware so that you can identify triggers that may hijack your performance. Gemma also helps you align your intentions and your impact so that you can build collaborative relationships. </p><p>
This course is part of these Professional Certificates:<br>
<ul>
<li><a href=""https://www.linkedin.com/learning/paths/becoming-a-manager-professional-certificate-by-linkedin-learning"">Becoming a Manager</a> from LinkedIn Learning.</li>
<li><a href=""https://www.linkedin.com/learning/paths/human-skills-for-managers-professional-certificate-by-linkedin-learning"" target=""_blank"">Human Skills for Managers</a> from LinkedIn Learning.</li>
<li><a href=""https://www.linkedin.com/learning/paths/professional-soft-skills-learning-pathway"" target=""_blank"">Professional Soft Skills Learning Pathway</a> from Microsoft.</li>
</ul></p>",Course,2024-05-06 09:01 UTC,N/A,false,N/A,
Skills to Build Stronger Work Relationships,"<p>In the world of hybrid work, uncertainty, and constant change, people need healthy work relationships to feel supported and show up as their best selves. This course covers essential skills to build and maintain more resilient relationships. Dr. Emily Anhalt teaches essential tools and skills, including: taking ownership of your part, strategies to build empathy, ways to create a more positive and safe working environment, ways to move from reactive to proactive, how to have healthy conflict, getting on the same team, expressing yourself more effectively, and breaking an emotional sweat every day.</p><p>This course is part of a <a href=""https://www.linkedin.com/learning/paths/becoming-a-manager-professional-certificate-by-linkedin-learning"" >Professional Certificate</a> from LinkedIn Learning.</p><p>Note: This course includes AI-powered Role Play. Role Play allows you to practice what you’ve learned in interactive simulations of real-world conversations. </p>",Course,2024-10-25 15:54 UTC,N/A,false,N/A,
Rock Your LinkedIn Profile (2019),"Explore how to create a LinkedIn profile that brings your personal career story to life, whether you’re just starting out, seeking to advance, or making a career change. Instructor Lauren Jolda—head of the ""Rock Your Profile"" team at LinkedIn—offers tips on tailoring each section, starting with the key insight that a LinkedIn profile is unique and shouldn’t be approached exactly like a resume. Lauren covers ways to add media to a profile, methods for showcasing your career accomplishments and aspirations, and specific examples of profile phrases and language that can help inspire your personal story.",Course,2024-12-15 02:24 UTC,N/A,false,N/A,
Ethics in the Age of Generative AI,"<p>The amazing potential and opportunity of Generative AI has also brought ethical concerns. How can you address these concerns effectively as you deploy tools and products powered by generative AI? In this course, expert Vilas Dhar equips designers and decision makers to better understand and act on the emerging ethical risks and considerations of generative artificial intelligence. Get a solid introduction to the ethical concerns around generative AI, then learn how to use a framework of ethical analysis to address these concerns. Plus, explore ways you can prepare your organization to address ethics in AI across all stakeholders from technology to C-Suite leaders.</p><p>This course is part of a <a href=""https://www.linkedin.com/learning/paths/career-essentials-in-generative-ai-by-microsoft-and-linkedin"" target=""_blank"">Professional Certificate</a> from Microsoft.</p>",Course,2024-07-20 15:37 UTC,2024-05-19 11:01 UTC,false,N/A,
Nano Tips to Speak Up in Meetings with Shadé Zahrai,"Welcome to our <i>Nano Tips</i> series, where LinkedIn Learning creators deliver impactful lessons in literally seconds. In this course, behavioral strategist and peak performance educator for Fortune 500s Shadé Zahrai teaches you quick tips for speaking up in meetings and making your voice heard. Learn how to avoid mistakes that harm your credibility and influence, speak up when you can’t find your turn, contribute value with strategic questions, claim back credit for overlooked suggestions, and more.",Course,2024-08-04 17:19 UTC,N/A,false,N/A,
Inclusive Branding: The Secret to Attracting the Right Talent for Your Organization,"Employer branding is a new concept to many companies, but it's one that is critical to your success in attracting, recruiting, and retaining talent. In this course, expert inclusive employer branding consultant Desiree Booker shares her knowledge on how to engrain inclusion into the DNA of your employer identity and build a brand that attracts and retains the right talent to your organization. Desiree starts by breaking down the potential ROI of having a strong employer brand. She then walks you through the key factors that influence your employer brand and how to identify gaps that may be causing you to miss out on top talent. Finally, Desiree shares strategies to create your brand messaging to ensure that it resonates with your ideal candidates. This course equips you with the tools to craft, amplify, and refine an inclusive employer brand that makes your candidates and employees feel a strong sense of belonging.
 
<br><br>This course was created by <a href=""https://www.onlymadecraft.com"" target=""_blank"">Madecraft</a>. We are pleased to host this training in our library.<br><br><img src=""https://media.licdn.com/media/AAYAAgCwAAoAAQAAAAAAAHppnBQxgeyWS2CsU3aDDPcMgw.jpg"" height=""20%"" width=""20%"">",Course,2024-08-28 03:22 UTC,N/A,false,N/A,
CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaCourse:4459065,CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaCourse:4459065,Course,2024-08-25 00:34 UTC,2024-05-18 07:18 UTC,false,N/A,
Introduction to Business Analytics (2022),"Data is an extremely valuable resource. But without study, it can’t be used to create a data-informed strategy. Business analytics helps organizations leverage data to make better, more informed decisions. This course is a basic introduction that lays out the foundations of analytics in an easy-to-understand and engaging manner. Expert John David Ariansen explains why data is so powerful, what insights really matter, and how to use common analysis tools and techniques. Additionally, John David explores data source maps, database management, and all the various data sources that may be encountered. By the end of the course, you should have the skills necessary to start collecting, tracking, and analyzing a variety of data, including sales, marketing, and psychographic metrics.<br><br>

<br><br>This course was created by <a href=""http://www.onlymadecraft.com"" target=""_blank"">Madecraft</a>. We are pleased to host this content in our library.<br><br><img src=""https://media.licdn.com/media/AAYAAgCwAAoAAQAAAAAAAHppnBQxgeyWS2CsU3aDDPcMgw.jpg"" height=""25%"" width=""25%"">",Course,2024-06-06 04:01 UTC,N/A,false,N/A,
Introduction to Prompt Engineering for Generative AI (2023),"<p>If you are a beginner looking to learn more about Natural Language Processing (NLP) capabilities or a developer wanting to get started with modern NLP APIs, this course offers a great introduction. Software developer and instructor Ronnie Sheer guides you through what large language models are and what problems they may be able to solve. Ronnie dives into text generation, starting with a warning to use text generation AI responsibly, then moving on to Chat GPT, GPT-3, and J1 with few-shot learning. He introduces you to the AI generated image landscape, then shows you how to use Dall-E and Midjourney. Plus, Ronnie goes over a couple of advanced concepts, like how to fine tune your prompts and how to interact with language models using an API.</p>",Course,2024-06-08 06:28 UTC,N/A,false,N/A,
CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaCourse:4517613,CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaCourse:4517613,Course,2024-08-28 01:23 UTC,N/A,false,N/A,
Practice Exam 1 for CompTIA A+ (220-1101),"<p>This practice exam is intended to help you prepare for the <b>CompTIA A+ (220-1101)</b> certification exam. After you launch the practice exam, there are three practice modes available; timed, untimed, or custom. Each mode allows unlimited attempts, explanations for correct and incorrect answers, and detailed exam results. The number and types of questions on the practice exam and the duration of the timed practice exam is intended to be representative of the certification exam.</p><p><b>Want more practice?</b> Additional practice exams for this certification are available and each has a unique question set for continued preparation.</p>
<ul>
<li><a href=""https://www.linkedin.com/learning/practice-exam-2-for-comptia-a-plus-220-1101/"" target=""_blank"">Practice Exam 2 for CompTIA A+ (220-1101)</a></li>
<li><a href=""https://www.linkedin.com/learning/practice-exam-3-for-comptia-a-plus-220-1101/"" target=""_blank"">Practice Exam 3 for CompTIA A+ (220-1101)</a></li>
<li><a href=""https://www.linkedin.com/learning/practice-exam-4-for-comptia-a-plus-220-1101/"" target=""_blank"">Practice Exam 4 for CompTIA A+ (220-1101)</a></li>
</ul>
<p><b>About the certification</b>: To learn more about this certification, visit <a href=""https://www.comptia.org/certifications/security#examdetails""><b>CompTIA</b></a>.<p><I>The practice exam questions provided are representative of the certification exam, but not the actual questions you will see on the certification exam. Practice exams are for self-assessment. Passing this practice exam does not guarantee that you will pass the actual certification exam.</I></p>",Course,2024-07-05 04:30 UTC,N/A,false,N/A,
Cybersecurity Awareness: Cybersecurity Terminology,"<p>Do you want to play your part in keeping your company and its assets secure, but you’re not sure if you fully understand the security team’s terminology? Understanding the foundations of cybersecurity can help you create a truly secure environment both at work and in your personal life. In this course, instructor Lauren Zink takes you on a crash course for building your awareness of cybersecurity vocabulary, so you can be better equipped to secure your network, whether you’re at home, on the go, or on the job.</p><p>Discover core concepts in the cybersecurity field by exploring the relationship between people, processes, and technology, noting the variety of terminology in the constantly shifting security landscape, and building your skills along the way. Find out more about common threats and risks and what they mean to you, as Lauren breaks down the meaning of some of the most frequently used terms and demonstrates how they can be applied to create a more secure environment.</p><p>This course is part of a <a href=""https://www.linkedin.com/learning/paths/career-essentials-in-cybersecurity-by-microsoft-and-linkedin"" target=""_blank"">Professional Certificate</a> from Microsoft.</p>",Course,2024-10-02 09:50 UTC,N/A,false,N/A,
Introduction to Career Skills in Data Analytics (2022),"<p>Are you ready to take the first step on your journey as a data analyst? Whatever your goals, you don’t need a background in computer science to get started today. In this course, instructor Robin Hunt gives you a comprehensive, behind-the-scenes look at what it’s really like to be a data analyst, from wielding data concepts and business intelligence skills, to landing your first role and advancing your career.<br><br>Explore the power of data and data analysis to develop a better understanding of the role. Learn about business intelligence, data-driven decision-making, data collection methods, discovery, and interpretation, as well as how to structure, assess, and transform data using core functions in Excel and Power BI. Gather insights from Robin on modeling, visualization, and mapping out the job market as an early-career analyst. By the end of this course, you’ll have the skills you need to set out on a new career path and tackle the Microsoft GSI Data Analytics certification exam. </p><p>This course is part of a <a href=""https://www.linkedin.com/learning/paths/career-essentials-in-data-analysis-by-microsoft-and-linkedin"">Professional Certificate</a> from Microsoft.</p>",Course,2024-05-05 15:31 UTC,N/A,false,N/A,
Python in Excel,"If you work with data, you know that Excel is one of the most popular and powerful tools at your disposal. Depending on your industry or field, you may also use Python for data analysis, forecasting, running machine learning models, and more. For many people who deal with data, it’s common to use both tools in the same workflow, and moving your data between the two can be a hassle. Good news! In the new public preview of Excel, you can now use Python directly in Excel, eliminating the need to move your data between the tools. In this course, Scott Simpson explores the Python features launched in the public preview, showing you how to manage your entire data workflow directly inside an Excel worksheet. Join Scott to learn about exciting and powerful features—referencing Excel values in Python, using pandas to analyze data in an Excel worksheet, using Python plotting modules, and more—and see how you can leverage the power of Python in your Excel sheets to gain insights from your data.",Course,2024-05-06 09:02 UTC,N/A,false,N/A,
Designing Learning Experiences in the Metaverse,"If you work in learning and development, you most likely know that the future is already here. Now, not only do you have to design experiences for elearning modules, microlearning, and online or hybrid classrooms, you also have to design learning platforms and curriculum that meet the unique needs and opportunities of the metaverse.<br><br>Join instructor Karl Kapp in this cornerstone skills course on effective virtual learning and development. Karl shows you how to build collaborative, three-dimensional learning experiences to take your instructional design skill set to the next professional level. Learn about the fundamentals of the metaverse for successful learning, why well-designed learning really matters, and when and how to conduct future-forward instructional experiences, evaluate your performance, overcome critical incidents, and more. By the end of this course, you’ll be ready to wield your new metaverse design skills to promote virtual collaboration, innovation for growth, and learning.",Course,2024-05-05 18:00 UTC,N/A,false,N/A,
Career Essentials in Generative AI by Microsoft and LinkedIn,"<b>Note:</b> This learning path will be <b>updated on October 1, 2026</b>. To earn your certificate of completion without interruption, complete the path before that date. If you can't, additional courses may be required.<br><br>Generative AI is reshaping industries by transforming how work gets done. This learning path puts you at the forefront of this creative revolution, covering content creation, key models, future trends, ethical considerations, and tools like Microsoft Copilot. Gain essential skills to harness generative AI in your career. Start today so you can lead in this transformative era.",Learning Path,2024-08-25 00:34 UTC,2024-05-26 12:37 UTC,false,N/A,
Digital Literacy and Productivity Learning Pathway,"We live in a digital world where computer skills allow us to learn new information, stay connected with loved ones, and create opportunities for career advancement. Explore the fundamentals of working with operating systems, applications, and productivity tools such as Microsoft Word and Excel, and learn to confidently navigate the online world.",Learning Path,2024-08-03 03:11 UTC,N/A,false,N/A,
Professional Soft Skills Learning Pathway,"<b>Note:</b> This learning path will be <b>updated on September 15, 2026</b>. To earn your certificate of completion without interruption, complete the path before that date. If you can't, additional courses may be required.<br><br>Learn how to excel in any job by mastering essential professional soft skills. Develop the skills that hiring managers value most, from emotional intelligence and critical thinking to teamwork and addressing unconscious bias.<br><br>Note: To view a version of this learning path with audio descriptions, see <a href=""https://www.linkedin.com/learning/paths/professional-soft-skills-learning-pathway-with-audio-descriptions?u=104""><i>Professional Soft Skills Learning Pathway (with Audio Descriptions)</i></a>.",Learning Path,2024-05-06 09:01 UTC,N/A,false,N/A,
Career Essentials in Cybersecurity by Microsoft and LinkedIn,Discover the skills needed for a career in cybersecurity. Gain a solid understanding of commonly used cybersecurity terms. Explore the current threat landscape and learn the core concepts of cybersecurity.  ,Learning Path,2024-12-01 07:20 UTC,N/A,false,N/A,
